ID,Town,County,Country
771,Annaloist,Craigavon,Northern Ireland
772,Annalong,Newry and Mourne,Northern Ireland
773,Annan,Dumfries and Galloway,Scotland
774,Annaside,Cumbria,England
775,Annat,Highland,Scotland
776,Annat,Argyll and Bute,Scotland
777,Annbank,South Ayrshire,Scotland
778,Annesley,Nottinghamshire,England
779,Annesley Woodhouse,Nottinghamshire,England
780,Annfield Plain,County Durham,England
781,Anniesland,Glasgow City,Scotland
782,Annis Hill,Suffolk,England
783,Annishader,Highland,Scotland
784,Annitsford,Tyne and Wear,England
785,Annochie,Aberdeenshire,Scotland
786,Annscroft,Shropshire,England
787,Annwell Place,Derbyshire,England
788,Ansdell,Lancashire,England
789,Ansells End,Hertfordshire,England
790,Ansford,Somerset,England
791,Ansley,Warwickshire,England
792,Ansley Common,Warwickshire,England
793,Anslow,Staffordshire,England
794,Anslow Gate,Staffordshire,England
795,Ansteadbrook,Surrey,England
796,Anstey,Leicestershire,England
797,Anstey,Hertfordshire,England
798,Anstruther Easter,Fife,Scotland
799,Anstruther Wester,Fife,Scotland
800,Ansty,Warwickshire,England
801,Ansty,Wiltshire,England
802,Ansty,West Sussex,England
803,Ansty Coombe,Wiltshire,England
804,Ansty Cross,Dorset,England
805,Anthill Common,Hampshire,England
806,Anthony's Cross,Gloucestershire,England
807,Anthorn,Cumbria,England
808,Antingham,Norfolk,England
809,Anton's Gowt,Lincolnshire,England
810,Antonshill,Falkirk,Scotland
811,Antony,Cornwall,England
812,Antony Passage,Cornwall,England
813,Antrim,Antrim,Northern Ireland
814,Antrobus,Cheshire,England
815,Anvil Green,Kent,England
816,Anvilles,Berkshire,England
817,Anwick,Lincolnshire,England
818,Anwoth,Dumfries and Galloway,Scotland
819,Aonachan,Highland,Scotland
820,Apedale,Staffordshire,England
821,Aperfield,"Bromley, Greater London",England
822,Apes Dale,Worcestershire,England
823,Apethorpe,Northamptonshire,England
824,Apeton,Staffordshire,England
825,Apley,Lincolnshire,England
826,Apley Forge,Shropshire,England
827,Apperknowle,Derbyshire,England
828,Apperley,Gloucestershire,England
829,Apperley Bridge,West Yorkshire,England
830,Apperley Dene,Northumberland,England
831,Appersett,North Yorkshire,England
832,Appin,Argyll and Bute,Scotland
833,Appleby,Lincolnshire,England
834,Appleby Magna,Leicestershire,England
835,Appleby Parva,Leicestershire,England
836,Appleby-in-Westmorland,Cumbria,England
837,Applecross,Highland,Scotland
838,Appledore,Devon,England
839,Appledore,Devon,England
840,Appledore,Kent,England
841,Appledore Heath,Kent,England
842,Appleford,Oxfordshire,England
843,Applegarthtown,Dumfries and Galloway,Scotland
844,Applehouse Hill,Berkshire,England
845,Applemore,Hampshire,England
846,Appleshaw,Hampshire,England
847,Applethwaite,Cumbria,England
848,Appleton,Cheshire,England
849,Appleton,Oxfordshire,England
850,Appleton Park,Cheshire,England
851,Appleton Roebuck,North Yorkshire,England
852,Appleton Thorn,Cheshire,England
853,Appleton Wiske,North Yorkshire,England
854,Appleton-le-Moors,North Yorkshire,England
855,Appleton-le-Street,North Yorkshire,England
856,Appletreehall,Scottish Borders,Scotland
857,Appletreewick,North Yorkshire,England
858,Appley,Somerset,England
859,Appley,Isle of Wight,England
860,Appley Bridge,Lancashire,England
861,Apse Heath,Isle of Wight,England
862,Apsey Green,Suffolk,England
863,Apsley,Hertfordshire,England
864,Apsley End,Hertfordshire,England
865,Apuldram,West Sussex,England
866,Aqueduct,Shropshire,England
867,Aquhythie,Aberdeenshire,Scotland
868,Arabella,Highland,Scotland
869,Arbirlot,Angus,Scotland
870,Arboe,Cookstown,Northern Ireland
871,Arborfield,Berkshire,England
872,Arborfield Cross,Berkshire,England
873,Arborfield Garrison,Berkshire,England
874,Arbourthorne,South Yorkshire,England
875,Arbroath,Angus,Scotland
876,Arbury,Cambridgeshire,England
877,Arbuthnott,Aberdeenshire,Scotland
878,Archdeacon Newton,County Durham,England
879,Archenfield,Herefordshire,England
880,Archerfield The Village,East Lothian,Scotland
881,Archiestown,Moray,Scotland
882,Arclid,Cheshire,England
883,Arclid Green,Cheshire,England
884,Ardachu,Highland,Scotland
885,Ardalanish,Argyll and Bute,Scotland
886,Ardallie,Aberdeenshire,Scotland
887,Ardanaiseig,Argyll and Bute,Scotland
888,Ardaneaskan,Highland,Scotland
889,Ardarragh,Newry and Mourne,Northern Ireland
890,Ardarroch,Highland,Scotland
891,Ardbeg,Argyll and Bute,Scotland
892,Ardbeg,Argyll and Bute,Scotland
893,Ardcharnich,Highland,Scotland
894,Ardchonnell,Argyll and Bute,Scotland
895,Ardchronie,Highland,Scotland
896,Ardchullarie More,Stirling,Scotland
897,Ardchyle,Stirling,Scotland
898,Arddleen/Arddlîn,Powys,Wales
899,Ardeley,Hertfordshire,England
900,Ardelve,Highland,Scotland
901,Arden,Argyll and Bute,Scotland
902,Arden,Glasgow City,Scotland
903,Arden Park,Greater Manchester,England
904,Ardendrain,Highland,Scotland
905,Ardens Grafton,Warwickshire,England
906,Ardentallen,Argyll and Bute,Scotland
907,Ardentinny,Argyll and Bute,Scotland
908,Ardeonaig,Stirling,Scotland
909,Ardersier,Highland,Scotland
910,Ardery,Highland,Scotland
911,Ardess,Fermanagh,Northern Ireland
912,Ardfern,Argyll and Bute,Scotland
913,Ardfernal,Argyll and Bute,Scotland
914,Ardgartan,Argyll and Bute,Scotland
915,Ardgay,Highland,Scotland
916,Ardgayhill,Highland,Scotland
917,Ardglass,Down,Northern Ireland
918,Ardheisker,Na h-Eileanan an Iar,Scotland
919,Ardheslaig,Highland,Scotland
920,Ardifuir,Argyll and Bute,Scotland
921,Ardinamir,Argyll and Bute,Scotland
922,Ardindrean,Highland,Scotland
923,Ardingly,West Sussex,England
924,Ardington,Oxfordshire,England
925,Ardington Wick,Oxfordshire,England
926,Ardintoul,Highland,Scotland
927,Ardkeen,Ards,Northern Ireland
928,Ardlawhill,Aberdeenshire,Scotland
929,Ardleigh,Essex,England
930,Ardleigh Green,"Havering, Greater London",England
931,Ardleigh Heath,Essex,England
932,Ardler,Perth and Kinross,Scotland
933,Ardley,Oxfordshire,England
934,Ardley End,Essex,England
935,Ardlui,Argyll and Bute,Scotland
936,Ardmair,Highland,Scotland
937,Ardmenish,Argyll and Bute,Scotland
938,Ardmillan,Ards,Northern Ireland
939,Ardminish,Argyll and Bute,Scotland
940,Ardmolich,Highland,Scotland
941,Ardmoney,Fermanagh,Northern Ireland
942,Ardmore,Limavady,Northern Ireland
943,Ardmore,Highland,Scotland
944,Ardmore,Highland,Scotland
945,Ardnadam,Argyll and Bute,Scotland
946,Ardnagoine,Highland,Scotland
947,Ardnagrask,Highland,Scotland
948,Ardnarff,Highland,Scotland
949,Ardnastang,Highland,Scotland
950,Ardo,Aberdeenshire,Scotland
951,Ardoch,Argyll and Bute,Scotland
952,Ardonald,Aberdeenshire,Scotland
953,Ardoyne,Aberdeenshire,Scotland
954,Ardpeaton,Argyll and Bute,Scotland
955,Ardrishaig,Argyll and Bute,Scotland
956,Ardroag,Highland,Scotland
957,Ardross,Highland,Scotland
958,Ardrossan,North Ayrshire,Scotland
959,Ardshealach,Highland,Scotland
960,Ardskenish,Argyll and Bute,Scotland
961,Ardsley,South Yorkshire,England
962,Ardstraw,Strabane,Northern Ireland
963,Ardtalnaig,Perth and Kinross,Scotland
964,Ardtoe,Highland,Scotland
965,Ardtreck,Highland,Scotland
966,Ardtun,Argyll and Bute,Scotland
967,Arduaine,Argyll and Bute,Scotland
968,Ardullie,Highland,Scotland
969,Ardvannie,Highland,Scotland
970,Ardvasar/Àird a Bhasair,Highland,Scotland
971,Ardverikie,Highland,Scotland
972,Ardwell,Dumfries and Galloway,Scotland
973,Ardwick,Greater Manchester,England
974,Arean,Highland,Scotland
975,Areley Kings,Worcestershire,England
976,Arford,Hampshire,England
977,Argoed,Shropshire,England
978,Argoed,Caerphilly,Wales
979,Argoed,Powys,Wales
980,Argoed,Shropshire,England
981,Argos Hill,East Sussex,England
982,Aridhglas,Argyll and Bute,Scotland
983,Arinagour,Argyll and Bute,Scotland
984,Arisaig/Arasaig,Highland,Scotland
985,Ariundle,Highland,Scotland
986,Arivegaig,Highland,Scotland
987,Arkendale,North Yorkshire,England
988,Arkesden,Essex,England
989,Arkholme,Lancashire,England
990,Arkle Town,North Yorkshire,England
991,Arkleby,Cumbria,England
992,Arkleton,Dumfries and Galloway,Scotland
993,Arkley,"Barnet, Greater London",England
994,Arksey,South Yorkshire,England
995,Arkwright Town,Derbyshire,England
996,Arle,Gloucestershire,England
997,Arlebrook,Gloucestershire,England
998,Arlecdon,Cumbria,England
999,Arlescote,Warwickshire,England
1000,Arlesey,Bedfordshire,England
1001,Arleston,Shropshire,England
1002,Arley,Cheshire,England
1003,Arley Green,Cheshire,England
1004,Arlingham,Gloucestershire,England
1005,Arlington,Gloucestershire,England
1006,Arlington,Devon,England
1007,Arlington,East Sussex,England
1008,Arlington Beccott,Devon,England
1009,Armadale,Highland,Scotland
1010,Armadale,West Lothian,Scotland
1011,Armadale/Armadail,Highland,Scotland
1012,Armagh,Armagh,Northern Ireland
1013,Armathwaite,Cumbria,England
1014,Armigers,Essex,England
1015,Arminghall,Norfolk,England
1016,Armitage,Staffordshire,England
1017,Armitage Bridge,West Yorkshire,England
1018,Armley,West Yorkshire,England
1019,Armoy,Moyle,Northern Ireland
1020,Armscote,Warwickshire,England
1021,Armsdale,Staffordshire,England
1022,Armshead,Staffordshire,England
1023,Armston,Northamptonshire,England
1024,Armthorpe,South Yorkshire,England
1025,Arnaby,Cumbria,England
1026,Arncliffe,North Yorkshire,England
1027,Arncroach,Fife,Scotland
1028,Arne,Dorset,England
1029,Arnesby,Leicestershire,England
1030,Arney,Fermanagh,Northern Ireland
1031,Arnisdale,Highland,Scotland
1032,Arnish,Highland,Scotland
1033,Arniston,Midlothian,Scotland
1034,Arno's Vale,Bristol,England
1035,Arnol,Na h-Eileanan an Iar,Scotland
1036,Arnold,Nottinghamshire,England
1037,Arnold,East Riding of Yorkshire,England
1038,Arnprior,Stirling,Scotland
1039,Arnside,Cumbria,England
1040,Arowry,Wrexham,Wales
1041,Arpafeelie,Highland,Scotland
1042,Arpinge,Kent,England
1043,Arrad Foot,Cumbria,England
1044,Arram,East Riding of Yorkshire,England
1045,Arrathorne,North Yorkshire,England
1046,Arreton,Isle of Wight,England
1047,Arrington,Cambridgeshire,England
1048,Arrisa,Highland,Scotland
1049,Arrochar,Argyll and Bute,Scotland
1050,Arrow,Warwickshire,England
1051,Arrow Green,Herefordshire,England
1052,Arrowe Hill,Merseyside,England
1053,Arrowfield Top,Worcestershire,England
1054,Arrunden,West Yorkshire,England
1055,Arscott,Shropshire,England
1056,Artafallie,Highland,Scotland
1057,Arthill,Cheshire,England
1058,Arthington,West Yorkshire,England
1059,Arthingworth,Northamptonshire,England
1060,Arthog,Gwynedd,Wales
1061,Arthrath,Aberdeenshire,Scotland
1062,Arthursdale,West Yorkshire,England
1063,Articlave,Coleraine,Northern Ireland
1064,Artigarvan,Strabane,Northern Ireland
1065,Artikelly,Limavady,Northern Ireland
1066,Artington,Surrey,England
1067,Artrea,Cookstown,Northern Ireland
1068,Arundel,West Sussex,England
1069,Asby,Cumbria,England
1070,Ascog,Argyll and Bute,Scotland
1071,Ascot,Berkshire,England
1072,Ascott,Warwickshire,England
1073,Ascott d' Oyley,Oxfordshire,England
1074,Ascott Earl,Oxfordshire,England
1075,Ascott-under-Wychwood,Oxfordshire,England
1076,Ascreavie,Angus,Scotland
1077,Asenby,North Yorkshire,England
1078,Asfordby,Leicestershire,England
1079,Asfordby Hill,Leicestershire,England
1080,Asgarby,Lincolnshire,England
1081,Asgarby,Lincolnshire,England
1082,Ash,Somerset,England
1083,Ash,Somerset,England
1084,Ash,Dorset,England
1085,Ash,Surrey,England
1086,Ash,Devon,England
1087,Ash,Dorset,England
1088,Ash,Kent,England
1089,Ash,Kent,England
1090,Ash Bank,Staffordshire,England
1091,Ash Green,Warwickshire,England
1092,Ash Green,Surrey,England
1093,Ash Grove,Wrexham,Wales
1094,Ash Hill,Devon,England
1095,Ash Magna,Shropshire,England
1096,Ash Mill,Devon,England
1097,Ash Moor,Devon,England
1098,Ash Parva,Shropshire,England
1099,Ash Priors,Somerset,England
1100,Ash Street,Suffolk,England
1101,Ash Thomas,Devon,England
1102,Ash Vale,Surrey,England
1103,Ashaig/Athaiseig,Highland,Scotland
1104,Ashampstead,Berkshire,England
1105,Ashampstead Green,Berkshire,England
1106,Ashansworth,Hampshire,England
1107,Ashbank,Kent,England
1108,Ashbeer,Somerset,England
1109,Ashbocking,Suffolk,England
1110,Ashbourne,Derbyshire,England
1111,Ashbrittle,Somerset,England
1112,Ashbrook,Shropshire,England
1113,Ashburnham Forge,East Sussex,England
1114,Ashburton,Devon,England
1115,Ashbury,Oxfordshire,England
1116,Ashbury,Devon,England
1117,Ashby,Lincolnshire,England
1118,Ashby by Partney,Lincolnshire,England
1119,Ashby cum Fenby,Lincolnshire,England
1120,Ashby de la Launde,Lincolnshire,England
1121,Ashby Folville,Leicestershire,England
1122,Ashby Hill,Lincolnshire,England
1123,Ashby Magna,Leicestershire,England
1124,Ashby Parva,Leicestershire,England
1125,Ashby Puerorum,Lincolnshire,England
1126,Ashby St Ledgers,Northamptonshire,England
1127,Ashby St Mary,Norfolk,England
1128,Ashby-de-la-Zouch,Leicestershire,England
1129,Ashchurch,Gloucestershire,England
1130,Ashcombe,Devon,England
1131,Ashcombe Park,Somerset,England
1132,Ashcott,Somerset,England
1133,Ashcott Corner,Somerset,England
1134,Ashculme,Devon,England
1135,Ashdon,Essex,England
1136,Ashe,Hampshire,England
1137,Asheldham,Essex,England
1138,Ashen,Essex,England
1139,Ashendon,Buckinghamshire,England
1140,Asheridge,Buckinghamshire,England
1141,Ashey,Isle of Wight,England
1142,Ashfield,Banbridge,Northern Ireland
1143,Ashfield,Stirling,Scotland
1144,Ashfield,Argyll and Bute,Scotland
1145,Ashfield,Shropshire,England
1146,Ashfield,Carmarthenshire,Wales
1147,Ashfield,Herefordshire,England
1148,Ashfield,Hampshire,England
1149,Ashfield,Suffolk,England
1150,Ashfield Cum Thorpe,Suffolk,England
1151,Ashfield Green,Suffolk,England
1152,Ashfield Green,Suffolk,England
1153,Ashfields,Shropshire,England
1154,Ashfold Crossways,West Sussex,England
1155,Ashfold Side,North Yorkshire,England
1156,Ashford,Devon,England
1157,Ashford,Hampshire,England
1158,Ashford,Devon,England
1159,Ashford,Surrey,England
1160,Ashford,Kent,England
1161,Ashford Bowdler,Shropshire,England
1162,Ashford Carbonell,Shropshire,England
1163,Ashford Common,Surrey,England
1164,Ashford Hill,Hampshire,England
1165,Ashford in the Water,Derbyshire,England
1166,Ashgate,Derbyshire,England
1167,Ashgill,South Lanarkshire,Scotland
1168,Ashgrove,Moray,Scotland
1169,Ashgrove,Somerset,England
1170,Ashiestiel,Scottish Borders,Scotland
1171,Ashill,Devon,England
1172,Ashill,Somerset,England
1173,Ashill,Norfolk,England
1174,Ashingdon,Essex,England
1175,Ashington,Northumberland,England
1176,Ashington,Somerset,England
1177,Ashington,Dorset,England
1178,Ashington,West Sussex,England
1179,Ashington End,Lincolnshire,England
1180,Ashkirk,Scottish Borders,Scotland
1181,Ashlett,Hampshire,England
1182,Ashleworth,Gloucestershire,England
1183,Ashley,Staffordshire,England
1184,Ashley,Cheshire,England
1185,Ashley,Northamptonshire,England
1186,Ashley,Wiltshire,England
1187,Ashley,Gloucestershire,England
1188,Ashley,Dorset,England
1189,Ashley,Hampshire,England
1190,Ashley,Hampshire,England
1191,Ashley,Cambridgeshire,England
1192,Ashley,Kent,England
1193,Ashley Dale,Staffordshire,England
1194,Ashley Down,Bristol,England
1195,Ashley Green,Buckinghamshire,England
1196,Ashley Heath,Staffordshire,England
1197,Ashley Heath,Greater Manchester,England
1198,Ashley Heath,Dorset,England
1199,Ashley Moor,Herefordshire,England
1200,Ashley Park,Surrey,England
1201,Ashleyhay,Derbyshire,England
1202,Ashmanhaugh,Norfolk,England
1203,Ashmansworth,Hampshire,England
1204,Ashmansworthy,Devon,England
1205,Ashmead Green,Gloucestershire,England
1206,Ashmill,Devon,England
1207,Ashmore,Dorset,England
1208,Ashmore Green,Berkshire,England
1209,Ashmore Lake,West Midlands,England
1210,Ashmore Park,West Midlands,England
1211,Ashopton,Derbyshire,England
1212,Ashorne,Warwickshire,England
1213,Ashover,Derbyshire,England
1214,Ashover Hay,Derbyshire,England
1215,Ashow,Warwickshire,England
1216,Ashperton,Herefordshire,England
1217,Ashprington,Devon,England
1218,Ashreigney,Devon,England
1219,Ashridge Court,Devon,England
1220,Ashtead,Surrey,England
1221,Ashton,Inverclyde,Scotland
1222,Ashton,Cheshire,England
1223,Ashton,Herefordshire,England
1224,Ashton,Northamptonshire,England
1225,Ashton,Somerset,England
1226,Ashton,Hampshire,England
1227,Ashton,Cornwall,England
1228,Ashton,Cambridgeshire,England
1229,Ashton,Northamptonshire,England
1230,Ashton Common,Wiltshire,England
1231,Ashton Gate,Bristol,England
1232,Ashton Green,East Sussex,England
1233,Ashton Keynes,Wiltshire,England
1234,Ashton under Hill,Worcestershire,England
1235,Ashton Upon Mersey,Greater Manchester,England
1236,Ashton Vale,Bristol,England
1237,Ashton-in-Makerfield,Greater Manchester,England
1238,Ashton-Under-Lyne,Greater Manchester,England
1239,Ashurst,Lancashire,England
1240,Ashurst,Hampshire,England
1241,Ashurst,West Sussex,England
1242,Ashurst,Kent,England
1243,Ashurst Bridge,Hampshire,England
1244,Ashurst Wood,Surrey,England
1245,Ashvale,Blaenau Gwent,Wales
1246,Ashwater,Devon,England
1247,Ashwell,Rutland,England
1248,Ashwell,Somerset,England
1249,Ashwell,Devon,England
1250,Ashwell,Hertfordshire,England
1251,Ashwell End,Hertfordshire,England
1252,Ashwellthorpe,Norfolk,England
1253,Ashwick,Somerset,England
1254,Ashwicken,Norfolk,England
1255,Ashwood,Staffordshire,England
1256,Askam in Furness,Cumbria,England
1257,Askern,South Yorkshire,England
1258,Askerswell,Dorset,England
1259,Askerton Hill,Nottinghamshire,England
1260,Askett,Buckinghamshire,England
1261,Askham,Cumbria,England
1262,Askham,Nottinghamshire,England
1263,Askham Bryan,North Yorkshire,England
1264,Askham Richard,North Yorkshire,England
1265,Asknish,Argyll and Bute,Scotland
1266,Askomill,Argyll and Bute,Scotland
1267,Askrigg,North Yorkshire,England
1268,Askwith,North Yorkshire,England
1269,Aslackby,Lincolnshire,England
1270,Aslacton,Norfolk,England
1271,Aslockton,Nottinghamshire,England
1272,Asney,Somerset,England
1273,Aspall,Suffolk,England
1274,Aspatria,Cumbria,England
1275,Aspenden,Hertfordshire,England
1276,Asperton,Lincolnshire,England
1277,Aspley,Staffordshire,England
1278,Aspley,Nottinghamshire,England
1279,Aspley Guise,Bedfordshire,England
1280,Aspley Heath,Warwickshire,England
1281,Aspley Heath,Bedfordshire,England
1282,Aspull,Greater Manchester,England
1283,Aspull Common,Greater Manchester,England
1284,Assater,Shetland Islands,Scotland
1285,Asselby,East Riding of Yorkshire,England
1286,Asserby,Lincolnshire,England
1287,Asserby Turn,Lincolnshire,England
1288,Assington,Suffolk,England
1289,Assington Green,Suffolk,England
1290,Astbury,Cheshire,England
1291,Astcote,Northamptonshire,England
1292,Asterby,Lincolnshire,England
1293,Asterley,Shropshire,England
1294,Asterton,Shropshire,England
1295,Asthall,Oxfordshire,England
1296,Asthall Leigh,Oxfordshire,England
1297,Astle,Cheshire,England
1298,Astley,Greater Manchester,England
